Zgodność instrukcji z kodem — po uporządkowaniu biblioteki;;;;;
v24;Reguła EPU dla nakazu zapłaty;TAK;build_epu_nakaz_next_step_sentence();6H_Reguly_EPU_sprzeciw;"Sprzeciw w EPU jest priorytetem; KRS i dokumenty rezygnacji są wskazywane jako dalsza strategia obrony."
v24;Rozróżnienie EPU vs sąd tradycyjny;TAK;build_client_next_step_sentence();6H_Reguly_EPU_sprzeciw;Dla EPU usunięto wymóg pierwszeństwa KRS i pełnej dokumentacji jako warunku sprzeciwu.
v27;Uzasadnienie ryzyka dla dokumentów członka zarządu;TAK;board_member_urgency_explanation();Reguła obejmuje także wezwanie sądowe i inne dokumenty z CZLONEK_ZARZADU.;Nie ograniczać do POZEW/NAKAZ.
;;;;;
v28;EPU zgodne z typem dokumentu;TAK;epu_compatibility_status(), epu_is_allowed_for_k1(), UI checkbox disabled;Wezwania sądowe i dokument nieustalony nie aktywują EPU.;2026-05-21
v30;Reguły dokumentów dotyczących spółki;TAK;company_document_risk_explanation() + build_company_next_step_sentence();Dokumenty spółki mają odrębny język ryzyka pośredniego i odrębny priorytet kolejnych kroków.;2026-05-22
v31: odróżnienie nakazu i pozwu przeciwko spółce + akcent krótkiego terminu;TAK;company_document_risk_explanation() + company_deadline_pressure_sentence();2026-05-22;Reguła obejmuje nakaz/pozew/wezwanie spółki oraz terminy 0-7 dni.;
v32;K7 kwota roszczenia;TAK;FormState.k7, punktacja W, claim_amount_text(), formularz K7;S = C + P + H + W;Kwota wpływa na ciężar sprawy i tekst oceny, bez zastępowania logiki terminu/dokumentu.
v32;Regresja wariantów kwoty;TAK;testy ręczne + panel testowy;pozew/nakaz, spółka/członek zarządu, EPU/bez EPU, terminy 0–7 i 8–14;Obowiązkowo sprawdzać po zmianach.
v32;Nieujawnianie technikaliów;TAK;clean_user_visible_text();brak kodów K7/W w tekście użytkownika;Kody tylko w panelu testowym.
v32;Excel zgodny z kodem;TAK;arkusze 4,5,6Q,14;dodano K7 i points_W;OK
