Reguły wyboru dokumentu głównego;;;;;
ID Reguły;Obszar oceny;Warunek rozpoznania;Punkty;Znaczenie dla wyboru dokumentu głównego;Uwagi dla AI
R28;EPU;Dokument zawiera sygnaturę „Nc-e” albo wskazuje Sąd Rejonowy Lublin-Zachód w Lublinie;25;Dodaj flagę EPU;Nie musi samodzielnie przesądzać wyboru, ale podnosi pilność
R29;Data dokumentu;Dokument jest najnowszy spośród dokumentów o podobnym priorytecie;10;Reguła pomocnicza;Stosować tylko przy remisie albo bardzo zbliżonym wyniku
R30;Jakość odczytu;Dokument został odczytany z wysoką pewnością OCR/tekstu;5;Podnosi pewność wyboru;Nie powinno decydować samo w sobie
R31;Jakość odczytu;Dokument został odczytany z niską pewnością OCR/tekstu;-10;Obniża pewność wyboru;AI powinno pokazać ostrzeżenie o konieczności weryfikacji
R32;Dokument pomocniczy;Dokument jest fakturą, umową, odpisem KRS, korespondencją handlową, potwierdzeniem przelewu albo dokumentem księgowym;-20;Zwykle nie wybierać jako główny;Może być ważny dla Audytu 48h, ale nie jako dokument wymagający reakcji
R33;Dokument obcy tematycznie;Dokument nie jest dokumentem prawnym albo nie dotyczy odpowiedzialności zarządu/spółki;-100;Nie wybierać jako dokument główny;Pokazać komunikat: „Wczytany dokument wydaje się nie być właściwy dla kalkulatora”
;Kolejność oceny powinna być następująca:;;;;
;1. Czy dokument dotyczy członka zarządu?;;;;
;2. Czy dokument uruchamia termin na reakcję?;;;;
;3. Czy dokument dotyczy odpowiedzialności z art. 299 KSH albo podobnego ryzyka osobistego?;;;;
;4. Czy dokument pochodzi z sądu, komornika, organu lub wierzyciela?;;;;
;5. Czy dokument jest aktualny i ma biegnący termin?;;;;
;6. Dopiero na końcu — jaka jest data dokumentu.;;;;
;;;;;
;;Doprecyzowanie po uwagach;Relacja między punktacją a kolejnością oceny;Kolejność oceny jest hierarchią merytoryczną, a punktacja jest jej technicznym odwzorowaniem. Data dokumentu jest kryterium pomocniczym stosowanym na końcu, zwłaszcza przy remisie.;
;;Kolejność oceny;1;Czy dokument dotyczy członka zarządu?;
;;Kolejność oceny;2;Czy dokument uruchamia termin na reakcję?;
;;Kolejność oceny;3;Czy dokument dotyczy odpowiedzialności z art. 299 k.s.h. albo podobnej odpowiedzialności osoby zarządzającej?;
;;Kolejność oceny;4;Czy dokument pochodzi z sądu, komornika albo organu publicznego?;
;;Kolejność oceny;5;Czy dokument jest aktualny i ma bieżący termin?;
;;Kolejność oceny;6;Dopiero na końcu — jaka jest data dokumentu.;
