Formularz 6 kroków;;;;;;;;
step_id;step_name;question_text;answer_label_user;answer_code_AI;required;conditional_logic;why_we_ask;uwagi_dla_AI
K5;Status wpisu w KRS;Czy zmiana została ujawniona w KRS?;Tak — wpis w KRS widnieje;K5_KRS_UPDATED;WARUNKOWO;Obowiązkowe tylko, gdy K4 = K4_BOARD_RESIGNED.;W praktyce wiele sytuacji opiera się o wpis w KRS — brak aktualizacji potrafi zwiększać chaos formalny.;Najniższy poziom chaosu w tym kroku.
K5;Status wpisu w KRS;Czy zmiana została ujawniona w KRS?;Nie — brak aktualnego wpisu w KRS;K5_KRS_NOT_UPDATED;WARUNKOWO;Obowiązkowe tylko, gdy K4 = K4_BOARD_RESIGNED.;W praktyce wiele sytuacji opiera się o wpis w KRS — brak aktualizacji potrafi zwiększać chaos formalny.;Podwyższa chaos i niepewność formalną.
K5;Status wpisu w KRS;Czy zmiana została ujawniona w KRS?;Nie wiem;K5_KRS_UNKNOWN;WARUNKOWO;Obowiązkowe tylko, gdy K4 = K4_BOARD_RESIGNED albo gdy użytkownik chce uzupełnić informację.;W praktyce wiele sytuacji opiera się o wpis w KRS — brak aktualizacji potrafi zwiększać chaos formalny.;Zwiększa ostrożność oceny.
K5;Status wpisu w KRS;Czy zmiana została ujawniona w KRS?;Nie dotyczy;K5_NOT_APPLICABLE;NIE;Automatycznie ustaw, gdy K4 = K4_BOARD_ACTIVE.;W praktyce wiele sytuacji opiera się o wpis w KRS — brak aktualizacji potrafi zwiększać chaos formalny.;Wartość techniczna potrzebna do scenariuszy.
K6;Cel klienta;Jaki jest Twój główny cel?;Chcę ocenić, czy mam realne podstawy obrony;K6_GOAL_DEFENSE;TAK;Brak;Cel pomaga dobrać charakter komunikatu: ocena szans, bezpieczne przygotowanie obrony, konkretne pismo procesowe albo uporządkowanie sytuacji.;Analiza szans i możliwych argumentów obrony.
K6;Cel klienta;Jaki jest Twój główny cel?;Chcę zyskać czas na przygotowanie obrony;K6_GOAL_BUY_TIME;TAK;Brak;Cel pomaga dobrać charakter komunikatu: ocena szans, bezpieczne przygotowanie obrony, konkretne pismo procesowe albo uporządkowanie sytuacji.;Chodzi o legalne wykorzystanie dostępnych środków procesowych, aby zebrać dokumenty i przygotować obronę — nie o nadużycie prawa.
K6;Cel klienta;Jaki jest Twój główny cel?;Chcę przygotować odpowiednie pismo procesowe;K6_GOAL_PROCEDURAL_LETTER;TAK;Brak;Cel pomaga dobrać charakter komunikatu: ocena szans, bezpieczne przygotowanie obrony, konkretne pismo procesowe albo uporządkowanie sytuacji.;Cel praktyczny: sprzeciw, odpowiedź na pozew albo inne właściwe pismo zależnie od dokumentu.
K6;Cel klienta;Jaki jest Twój główny cel?;Potrzebuję planu działania i oceny szans;K6_GOAL_PLAN;TAK;Brak;Cel pomaga dobrać charakter komunikatu: ocena szans, bezpieczne przygotowanie obrony, konkretne pismo procesowe albo uporządkowanie sytuacji.;Plan działania i ocena szans po uporządkowaniu dokumentów, terminu oraz możliwych zarzutów.
K6;Cel klienta;Jaki jest Twój główny cel?;Nie wiem — potrzebuję uporządkowania sytuacji;K6_GOAL_UNKNOWN;TAK;Brak;Cel pomaga dobrać charakter komunikatu: ocena szans, bezpieczne przygotowanie obrony, konkretne pismo procesowe albo uporządkowanie sytuacji.;Opcja dla osoby, która nie potrafi jeszcze wybrać strategii.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;Nie wiem / nie widzę kwoty;K7_AMOUNT_UNKNOWN;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Zwiększa niepewność i ostrożność oceny.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;Do 10 000 zł;K7_AMOUNT_UP_TO_10K;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Niska wartość roszczenia, ale nadal oceniać termin i typ dokumentu.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;10 001 – 50 000 zł;K7_AMOUNT_10K_50K;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Umiarkowana wartość roszczenia.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;50 001 – 150 000 zł;K7_AMOUNT_50K_150K;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Istotna wartość roszczenia.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;150 001 – 500 000 zł;K7_AMOUNT_150K_500K;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Wysoka wartość roszczenia — podnosi ciężar sprawy.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;Powyżej 500 000 zł;K7_AMOUNT_ABOVE_500K;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Bardzo wysoka wartość roszczenia — znacząco podnosi ciężar sprawy.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Pismo z ZUS / urzędu dotyczące odpowiedzialności członka zarządu;K1_ORGAN_PUBLICZNY_CZLONEK_ZARZADU;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Nowa kategoria v35: zawiadomienie/wezwanie/decyzja ZUS lub urzędu skarbowego dotyczące zaległości spółki i odpowiedzialności członka zarządu.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Pismo komornicze (spółka);K1_PISMO_KOMORNIK_SPOLKA;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Nowa kategoria 05.07.2026: pismo komornika w egzekucji przeciwko spółce (zawiadomienie o wszczęciu egzekucji, zajęcie rachunku, wezwanie do wykazu majątku itp.). Egzekucja przeciwko spółce to przedpole odpowiedzialności z art. 299 KSH — jeżeli okaże się bezskuteczna, wierzyciel może dochodzić zapłaty od członków zarządu.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Pismo komornicze (członek zarządu);K1_PISMO_KOMORNIK_CZLONEK_ZARZADU;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Nowa kategoria 05.07.2026: pismo komornika w egzekucji z majątku osobistego członka zarządu — najpóźniejszy etap sprawy, istnieje tytuł wykonawczy przeciwko osobie fizycznej. Jeden z najwyższych ciężarów gatunkowych.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Wezwanie przedsądowe (członek zarządu);K1_WEZWANIE_PRZEDSADOWE_CZLONEK_ZARZADU;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Nowa kategoria 06.07.2026: przedsądowe wezwanie do zapłaty powołujące się na art. 299 KSH i/lub bezskuteczność egzekucji wobec spółki, skierowane do członka zarządu — poważny sygnał, ale to jeszcze nie dokument sądowy.
