Punktacja formularza;;;;;;;
answer_code_AI;answer_label_user;category;points_C;points_P;points_H;uwagi_dla_AI;points_W
K3_SUPPORT_NOW_DOCS_LATER;Wstępna ocena teraz + dokumenty dosyłam później;K3_support_needed;0;0;1;Częściowa gotowość do uporządkowania sprawy.;0
K3_READY_FOR_AUDIT_48H;Jestem gotowy wysłać dokumenty i wejść w Audyt 48h;K3_support_needed;0;0;0;Najmniejsza niepewność organizacyjna, użytkownik jest gotowy do pełniejszej analizy.;0
K4_BOARD_ACTIVE;Nadal pełnię funkcję;K4_board_status;0;0;1;Nadal pełniona funkcja może wymagać uporządkowania sytuacji, ale sama w sobie nie oznacza najwyższego chaosu.;0
K4_BOARD_RESIGNED;Była rezygnacja / odwołanie;K4_board_status;0;0;1;Rezygnacja/odwołanie wymaga sprawdzenia dat i wpisu w KRS.;0
K4_BOARD_UNKNOWN;Nie wiem / trudno powiedzieć;K4_board_status;0;0;2;Niepewność co do statusu w zarządzie istotnie zwiększa chaos informacyjny.;0
K5_KRS_UPDATED;Tak — wpis w KRS widnieje;K5_krs_status;0;0;0;Najniższa niepewność formalna w zakresie wpisu KRS.;0
K5_KRS_NOT_UPDATED;Nie — brak aktualnego wpisu w KRS;K5_krs_status;0;0;2;Brak aktualnego wpisu może zwiększać chaos formalny i ryzyko nieporozumień.;0
K5_KRS_UNKNOWN;Nie wiem;K5_krs_status;0;0;2;Brak wiedzy o wpisie w KRS wymaga weryfikacji.;0
K5_NOT_APPLICABLE;Nie dotyczy;K5_krs_status;0;0;0;Stosować automatycznie, gdy użytkownik nadal pełni funkcję.;0
K6_GOAL_DEFENSE;Chcę ocenić, czy mam realne podstawy obrony;K6_goal;0;0;0;Cel dotyczy merytorycznej oceny podstaw obrony i możliwych zarzutów.;0
K6_GOAL_BUY_TIME;Chcę zyskać czas na przygotowanie obrony;K6_goal;0;0;1;Cel wymaga bezpiecznego języka: tylko legalne środki procesowe i faktyczna dokumentacja.;0
K6_GOAL_PROCEDURAL_LETTER;Chcę przygotować odpowiednie pismo procesowe;K6_goal;0;0;0;Cel praktyczny: dobór właściwego pisma zależnie od dokumentu.;0
K6_GOAL_PLAN;Potrzebuję planu działania i oceny szans;K6_goal;0;0;0;Cel dotyczy planu kolejnych kroków oraz oceny szans po weryfikacji dokumentów.;0
K6_GOAL_UNKNOWN;Nie wiem — potrzebuję uporządkowania sytuacji;K6_goal;0;0;1;Niepewność celu zwiększa potrzebę uporządkowania sprawy.;0
;;;;;;;
Element;Treść;;;;;;
K7_AMOUNT_UNKNOWN;Nie wiem / nie widzę kwoty;K7_claim_amount;0;0;1;"Brak kwoty ogranicza pewność oceny; dodać H=1 i W=1.";1
K7_AMOUNT_UP_TO_10K;Do 10 000 zł;K7_claim_amount;0;0;0;Niska kwota nie podnosi samodzielnie ciężaru sprawy.;0
K7_AMOUNT_10K_50K;10 001 – 50 000 zł;K7_claim_amount;0;0;0;Kwota umiarkowana — niewielkie podniesienie ciężaru finansowego.;1
K7_AMOUNT_50K_150K;50 001 – 150 000 zł;K7_claim_amount;0;0;0;Kwota istotna — podnosi ciężar sprawy.;2
K7_AMOUNT_150K_500K;150 001 – 500 000 zł;K7_claim_amount;0;0;0;Wysoka kwota — istotne konsekwencje finansowe.;3
K7_AMOUNT_ABOVE_500K;Powyżej 500 000 zł;K7_claim_amount;0;0;0;Bardzo wysoka kwota — znacząco podnosi ciężar sprawy.;4
;;;;;;;
;;;;;;;
Element;Treść;;;;;;
Zasada liczenia C;C liczymy z rodzaju dokumentu i jego ciężaru procesowego.;;;;;;
Zasada liczenia P;P liczymy przede wszystkim z czasu na reakcję.;;;;;;
Zasada liczenia H;H liczymy z niepewności danych, statusu zarządu/KRS i organizacyjnej gotowości.;;;;;;
Zasada liczenia W;"W liczymy z przedziału kwoty roszczenia; W wpływa na ciężar finansowy, ale nie zastępuje oceny terminu i dokumentu.";;;;;;
Wynik końcowy;S = C + P + H + W.;;;;;;
